60
y|x1|x2|group1|group2
r|r|r|i|i
-6.72|-0.3|-0.6|0|0
-1.75|0|1|0|1
-3.48|-0.3|-0.7|0|2
-4.08|0.6|1.2|0|0
-1.87|-0.2|1.2|0|1
-2.47|1.1|0|0|2
-5.57|0.8|0.1|0|0
-3.03|-1.2|0|0|1
-0.3|0.2|0.4|0|2
-6.81|-0.2|-0.6|0|0
-2.93|-0.7|0.3|0|1
-0.94|-0.1|0.7|0|2
-4.61|-2.6|0.1|0|0
-0.24|-0.5|2|0|1
-4.01|0|-1|0|2
-4|-0.2|1.2|0|0
-3.53|2.4|0.5|0|1
-0.88|0.4|0.6|0|2
-4.62|0.5|0.5|0|0
-2.78|-0.8|0.5|0|1
-4.03|0.4|-1.3|0|2
-3.29|0.7|1.6|0|0
-9.41|-0.2|-2.7|0|1
1.83|1.7|1.8|0|2
-5.58|-1.9|0|0|0
-3.73|-1.1|0.1|0|1
-1.66|-1.7|0.4|0|2
-4.18|-2.4|0.6|0|0
-5.3|-1.1|-0.9|0|1
-1.85|-0.5|0.4|0|2
-0.43|0|-1.1|1|0
6.18|-0.2|1|1|1
5.21|-0.6|-0.3|1|2
0.78|-0.5|-0.7|1|0
5.56|-0.2|1.2|1|1
6.54|-0.7|0.5|1|2
-2.69|1.1|-2.6|1|0
4.19|-0.4|-0.1|1|1
3.75|-0.7|-1.1|1|2
2.47|0.1|0.3|1|0
1.31|-0.8|-1.1|1|1
8.11|-0.4|1.2|1|2
-0.48|-1|-1.2|1|0
3.49|0.2|-0.4|1|1
7.79|1.4|0.8|1|2
6.98|0.3|2.1|1|0
4.46|-1.2|0.4|1|1
7.79|-0.9|0.8|1|2
0.81|-0.1|-0.5|1|0
5.41|-0.8|0.4|1|1
8.92|0.6|1.1|1|2
2|-0.4|-0.2|1|0
5.09|0.9|0.4|1|1
4.8|0.4|-0.3|1|2
2.66|1.6|-0.1|1|0
4.01|-0.6|0.2|1|1
6.83|-2.2|0.1|1|2
4.26|-0.5|0.8|1|0
4.26|1.6|0.4|1|1
5.54|-1.2|0.1|1|2
 
