1548
raceid|finishid|driverid|trackid
i|i|i|i
0|1|86|6
0|2|18|6
0|3|21|6
0|4|50|6
0|5|55|6
0|6|53|6
0|7|70|6
0|8|75|6
0|9|34|6
0|10|44|6
0|11|2|6
0|12|33|6
0|13|65|6
0|14|13|6
0|15|39|6
0|16|6|6
0|17|63|6
0|18|69|6
0|19|35|6
0|20|80|6
0|21|58|6
0|22|66|6
0|23|57|6
0|24|73|6
0|25|14|6
0|26|45|6
0|27|74|6
0|28|37|6
0|29|12|6
0|30|46|6
0|31|82|6
0|32|3|6
0|33|54|6
0|34|4|6
0|35|9|6
0|36|47|6
0|37|43|6
0|38|64|6
0|39|36|6
0|40|41|6
0|41|51|6
0|42|15|6
0|43|85|6
1|1|54|18
1|2|75|18
1|3|4|18
1|4|85|18
1|5|63|18
1|6|33|18
1|7|34|18
1|8|69|18
1|9|3|18
1|10|46|18
1|11|2|18
1|12|50|18
1|13|86|18
1|14|70|18
1|15|43|18
1|16|80|18
1|17|64|18
1|18|35|18
1|19|47|18
1|20|40|18
1|21|53|18
1|22|14|18
1|23|44|18
1|24|65|18
1|25|37|18
1|26|12|18
1|27|26|18
1|28|39|18
1|29|36|18
1|30|6|18
1|31|18|18
1|32|82|18
1|33|41|18
1|34|62|18
1|35|45|18
1|36|57|18
1|37|51|18
1|38|58|18
1|39|9|18
1|40|55|18
1|41|7|18
1|42|13|18
1|43|74|18
2|1|75|10
2|2|36|10
2|3|53|10
2|4|70|10
2|5|85|10
2|6|39|10
2|7|13|10
2|8|2|10
2|9|33|10
2|10|40|10
2|11|69|10
2|12|4|10
2|13|64|10
2|14|54|10
2|15|37|10
2|16|12|10
2|17|34|10
2|18|14|10
2|19|41|10
2|20|50|10
2|21|86|10
2|22|55|10
2|23|7|10
2|24|26|10
2|25|47|10
2|26|45|10
2|27|46|10
2|28|18|10
2|29|82|10
2|30|51|10
2|31|63|10
2|32|44|10
2|33|35|10
2|34|57|10
2|35|6|10
2|36|43|10
2|37|65|10
2|38|80|10
2|39|74|10
2|40|62|10
2|41|9|10
2|42|73|10
2|43|3|10
3|1|85|0
3|2|12|0
3|3|39|0
3|4|54|0
3|5|63|0
3|6|69|0
3|7|86|0
3|8|53|0
3|9|75|0
3|10|70|0
3|11|50|0
3|12|7|0
3|13|13|0
3|14|80|0
3|15|51|0
3|16|34|0
3|17|14|0
3|18|65|0
3|19|18|0
3|20|64|0
3|21|33|0
3|22|46|0
3|23|36|0
3|24|45|0
3|25|41|0
3|26|40|0
3|27|44|0
3|28|57|0
3|29|3|0
3|30|37|0
3|31|74|0
3|32|9|0
3|33|62|0
3|34|73|0
3|35|2|0
3|36|43|0
3|37|4|0
3|38|6|0
3|39|47|0
3|40|55|0
3|41|35|0
3|42|17|0
3|43|26|0
4|1|75|5
4|2|18|5
4|3|47|5
4|4|12|5
4|5|70|5
4|6|39|5
4|7|69|5
4|8|54|5
4|9|34|5
4|10|2|5
4|11|33|5
4|12|64|5
4|13|3|5
4|14|51|5
4|15|55|5
4|16|36|5
4|17|41|5
4|18|37|5
4|19|7|5
4|20|57|5
4|21|4|5
4|22|43|5
4|23|80|5
4|24|62|5
4|25|35|5
4|26|9|5
4|27|74|5
4|28|50|5
4|29|53|5
4|30|14|5
4|31|86|5
4|32|26|5
4|33|44|5
4|34|65|5
4|35|45|5
4|36|40|5
4|37|85|5
4|38|6|5
4|39|77|5
4|40|13|5
4|41|63|5
4|42|73|5
4|43|0|5
5|1|50|1
5|2|40|1
5|3|64|1
5|4|12|1
5|5|4|1
5|6|54|1
5|7|39|1
5|8|37|1
5|9|69|1
5|10|47|1
5|11|53|1
5|12|51|1
5|13|63|1
5|14|36|1
5|15|85|1
5|16|80|1
5|17|14|1
5|18|9|1
5|19|75|1
5|20|65|1
5|21|2|1
5|22|45|1
5|23|57|1
5|24|77|1
5|25|86|1
5|26|33|1
5|27|35|1
5|28|3|1
5|29|13|1
5|30|55|1
5|31|34|1
5|32|24|1
5|33|62|1
5|34|43|1
5|35|26|1
5|36|6|1
5|37|70|1
5|38|74|1
5|39|44|1
5|40|7|1
5|41|18|1
5|42|17|1
5|43|41|1
6|1|54|21
6|2|34|21
6|3|53|21
6|4|64|21
6|5|85|21
6|6|39|21
6|7|75|21
6|8|40|21
6|9|2|21
6|10|80|21
6|11|69|21
6|12|57|21
6|13|44|21
6|14|63|21
6|15|14|21
6|16|35|21
6|17|36|21
6|18|18|21
6|19|74|21
6|20|51|21
6|21|77|21
6|22|43|21
6|23|50|21
6|24|13|21
6|25|47|21
6|26|26|21
6|27|7|21
6|28|55|21
6|29|62|21
6|30|4|21
6|31|3|21
6|32|37|21
6|33|19|21
6|34|45|21
6|35|9|21
6|36|73|21
6|37|32|21
6|38|6|21
6|39|33|21
6|40|70|21
6|41|65|21
6|42|12|21
6|43|86|21
7|1|4|11
7|2|54|11
7|3|85|11
7|4|13|11
7|5|12|11
7|6|80|11
7|7|64|11
7|8|53|11
7|9|33|11
7|10|50|11
7|11|36|11
7|12|75|11
7|13|55|11
7|14|86|11
7|15|26|11
7|16|69|11
7|17|14|11
7|18|74|11
7|19|44|11
7|20|51|11
7|21|40|11
7|22|35|11
7|23|34|11
7|24|77|11
7|25|6|11
7|26|57|11
7|27|3|11
7|28|18|11
7|29|24|11
7|30|63|11
7|31|2|11
7|32|46|11
7|33|7|11
7|34|65|11
7|35|39|11
7|36|45|11
7|37|62|11
7|38|9|11
7|39|37|11
7|40|19|11
7|41|70|11
7|42|43|11
7|43|0|11
8|1|12|20
8|2|55|20
8|3|50|20
8|4|34|20
8|5|75|20
8|6|13|20
8|7|39|20
8|8|69|20
8|9|33|20
8|10|51|20
8|11|26|20
8|12|21|20
8|13|6|20
8|14|64|20
8|15|86|20
8|16|35|20
8|17|40|20
8|18|63|20
8|19|2|20
8|20|80|20
8|21|46|20
8|22|3|20
8|23|57|20
8|24|45|20
8|25|76|20
8|26|9|20
8|27|74|20
8|28|47|20
8|29|85|20
8|30|54|20
8|31|14|20
8|32|37|20
8|33|65|20
8|34|77|20
8|35|19|20
8|36|36|20
8|37|53|20
8|38|43|20
8|39|44|20
8|40|18|20
8|41|4|20
8|42|58|20
8|43|70|20
9|1|39|2
9|2|50|2
9|3|64|2
9|4|2|2
9|5|53|2
9|6|13|2
9|7|75|2
